Player,Opposition,Ground,Inns,Overs,Wkts
Fawad Alam,v South Africa,Nottingham,2,1.0,0
Mohammad Hafeez,v England,Cardiff,2,2.0,0
Abdul Razzaq,v New Zealand,Auckland,2,1.0,0
Wahab Riaz,v New Zealand,Christchurch,2,2.0,0
Junaid Khan,v West Indies,Gros Islet,1,2.0,0
Mohammad Hafeez,v New Zealand,Pallekele,2,4.0,0
Mohammad Hafeez,v New Zealand,Dubai (DSC),1,2.0,0
Faheem Ashraf,v New Zealand,Abu Dhabi,2,2.0,0
Imad Wasim,v Bangladesh,Lahore,1,3.0,0
Mohammad Nawaz (3),v Zimbabwe,Harare,2,2.0,0
Iftikhar Ahmed,v West Indies,Karachi,1,1.0,0
Naseem Shah,v Bangladesh,Adelaide,1,3.0,0
Mohammad Wasim (1),v New Zealand,Sydney,1,2.0,0
Shadab Khan,v Afghanistan,Sharjah,2,3.0,0
Umar Gul,v New Zealand,Auckland,2,2.0,0
Shahid Afridi,v South Africa,Dubai (DSC),2,2.3,0
Mohammad Hafeez,v Bangladesh,Mirpur,2,3.0,0
Sohail Tanvir,v Bangladesh,Mirpur,2,3.0,0
Shoaib Malik,v New Zealand,Wellington,1,1.0,0
Mohammad Irfan,v India,Mirpur,2,4.0,0
Imad Wasim,v Bangladesh,Lahore,1,2.0,0
Faheem Ashraf,v Zimbabwe,Harare,2,2.0,0
Shaheen Shah Afridi,v England,Manchester,2,1.0,0
Shoaib Malik,v Bangladesh,Mirpur,1,2.0,0
Mohammad Nawaz (3),v Afghanistan,Sharjah,2,4.0,0
Abdul Razzaq,v England,Dubai (DSC),1,4.0,0
Umar Gul,v South Africa,Abu Dhabi,2,3.2,0
Mohammad Hafeez,v Australia,Dubai (DSC),1,3.0,0
Faheem Ashraf,v South Africa,Lahore,2,2.0,0
Usman Qadir,v Zimbabwe,Harare,2,2.0,0
Imad Wasim,v Scotland,Sharjah,2,4.0,0
Faheem Ashraf,v New Zealand,Rawalpindi,2,1.2,0
Shoaib Akhtar,v Australia,Dubai (DSC),1,2.0,0
Abdul Razzaq,v Ireland,The Oval,2,3.0,0
Saeed Ajmal,v Australia,Melbourne,1,3.0,0
Saeed Ajmal,v England,Dubai (DSC),2,4.0,0
Mohammad Irfan,v Zimbabwe,Harare,2,3.0,0
Abdur Rehman,v South Africa,Dubai (DSC),2,1.0,0
Mohammad Hafeez,v Australia,Mirpur,2,2.0,0
Anwar Ali,v Zimbabwe,Lahore,1,3.0,0
Umar Gul,v New Zealand,Hamilton,2,2.0,0
Usman Shinwari,v Sri Lanka,Abu Dhabi,1,2.0,0
Hasan Ali,v Scotland,Edinburgh,2,2.0,0
Faheem Ashraf,v New Zealand,Auckland,2,3.0,0
Faheem Ashraf,v South Africa,Johannesburg,1,2.0,0
Naseem Shah,v New Zealand,Christchurch,2,3.1,0
Shabbir Ahmed,v South Africa,Johannesburg,2,2.0,0
Shahid Afridi,v South Africa,Johannesburg,2,1.3,0
Yasir Arafat,v India,Johannesburg,1,2.0,0
Umar Gul,v Bangladesh,Karachi,2,3.0,0
Anwar Ali,v Zimbabwe,King City (NW),1,2.0,0
Abdul Razzaq,v South Africa,Nottingham,2,3.0,0
Umar Gul,v South Africa,Nottingham,2,3.0,0
Shoaib Malik,v New Zealand,Dubai (DSC),2,2.0,0
Shahid Afridi,v New Zealand,Auckland,2,3.0,0
Saeed Ajmal,v Bangladesh,Mirpur,2,4.0,0
Shahid Afridi,v England,Abu Dhabi,1,4.0,0
Shoaib Malik,v Australia,Colombo (RPS),2,2.0,0
Saeed Ajmal,v South Africa,Centurion,2,2.0,0
Bilawal Bhatti,v South Africa,Cape Town,2,4.0,0
Wahab Riaz,v New Zealand,Hamilton,2,1.0,0
Shadab Khan,v New Zealand,Sharjah,1,3.0,0
Shadab Khan,v India,Dubai (DSC),2,4.0,0
Mohammad Wasim (1),v New Zealand,Christchurch,2,2.0,0
Mohammad Wasim (1),v Bangladesh,Adelaide,1,2.0,0
Zaman Khan,v Afghanistan,Sharjah,2,3.0,0
Mohammad Amir,v New Zealand,Bridgetown,1,3.0,0
Mohammad Hafeez,v Australia,Gros Islet,2,2.0,0
Abdul Razzaq,v England,Cardiff,2,2.0,0
Abdul Razzaq,v South Africa,Abu Dhabi,2,2.0,0
Shoaib Malik,v Australia,Dubai (DSC),1,1.0,0
Mohammad Irfan,v India,Ahmedabad,1,4.0,0
Mohammad Irfan,v Australia,Dubai (DSC),2,2.0,0
Wahab Riaz,v West Indies,Dubai (DSC),1,4.0,0
Mohammad Amir,v West Indies,Abu Dhabi,1,4.0,0
Imad Wasim,v West Indies,Port of Spain,2,3.0,0
Hasan Ali,v West Indies,Port of Spain,2,2.0,0
Shaheen Shah Afridi,v West Indies,Bridgetown,1,2.0,0
Mohammad Nawaz (3),v England,Karachi,2,4.0,0
Abdur Rauf,v Zimbabwe,King City (NW),1,3.0,0
Shahid Afridi,v South Africa,Gros Islet,2,4.0,0
Shahid Afridi,v Sri Lanka,Abu Dhabi,1,4.0,0
Mohammad Hafeez,v South Africa,Dubai (DSC),1,4.0,0
Mohammad Hafeez,v Sri Lanka,Abu Dhabi,1,3.0,0
Mohammad Nawaz (3),v South Africa,Lahore,2,4.0,0
Mohammad Nawaz (3),v Sri Lanka,Dubai (DSC),2,4.0,0
Shadab Khan,v New Zealand,Christchurch,1,4.0,0
Shahnawaz Dahani,v New Zealand,Christchurch,2,2.0,0
Shadab Khan,v India,Melbourne,2,4.0,0
Abdul Razzaq,v Australia,Gros Islet,2,2.0,0
Mohammad Hafeez,v England,Abu Dhabi,1,4.0,0
Mohammad Hafeez,v Sri Lanka,Hambantota,1,4.0,0
Sohail Tanvir,v India,Bengaluru,1,4.0,0
Anwar Ali,v South Africa,Johannesburg,1,2.0,0
Shoaib Malik,v India,Eden Gardens,2,2.0,0
Sohail Tanvir,v West Indies,Abu Dhabi,1,4.0,0
Imad Wasim,v World-XI,Lahore,2,4.0,0
Mohammad Nawaz (3),v Australia,Harare,2,2.0,0
Shadab Khan,v New Zealand,Auckland,2,2.0,0
Shadab Khan,v West Indies,Providence,2,4.0,0
Shadab Khan,v West Indies,Karachi,2,4.0,0
Imad Wasim,v New Zealand,Lahore,1,2.0,0
Abdul Razzaq,v Bangladesh,Gros Islet,2,2.0,0
Umar Gul,v England,Cardiff,2,2.0,0
Shahid Afridi,v South Africa,Abu Dhabi,2,2.0,0
Mohammad Hafeez,v West Indies,Gros Islet,1,3.0,0
Saeed Ajmal,v West Indies,Kingstown,1,4.0,0
Sohail Tanvir,v Zimbabwe,Harare,2,4.0,0
Bilawal Bhatti,v Sri Lanka,Dubai (DSC),1,3.0,0
Junaid Khan,v India,Mirpur,2,3.0,0
Shahid Afridi,v Zimbabwe,Harare,2,3.0,0
Imad Wasim,v Sri Lanka,Abu Dhabi,1,4.0,0
Faheem Ashraf,v Scotland,Edinburgh,2,3.0,0
Faheem Ashraf,v Zimbabwe,Harare,2,3.0,0
Muhammad Musa,v Zimbabwe,Rawalpindi,1,4.0,0
Iftikhar Ahmed,v England,Karachi,2,4.0,0
Faheem Ashraf,v New Zealand,Lahore,2,2.0,0
Saeed Ajmal,v New Zealand,The Oval,1,4.0,0
Shahid Afridi,v West Indies,Kingstown,1,4.0,0
Shahid Afridi,v Zimbabwe,Harare,2,3.0,0
Mohammad Hafeez,v South Africa,Dubai (DSC),2,3.0,0
Mohammad Hafeez,v Sri Lanka,Dubai (DSC),1,4.0,0
Shahid Afridi,v India,Mirpur,2,3.0,0
Shahid Afridi,v Sri Lanka,Mirpur,1,4.0,0
Shadab Khan,v New Zealand,Dubai (DSC),1,4.0,0
Usman Shinwari,v New Zealand,Dubai (DSC),2,3.0,0
Imad Wasim,v Sri Lanka,Lahore,1,4.0,0
Shadab Khan,v New Zealand,Hamilton,2,4.0,0
Haris Rauf,v England,Lahore,1,4.0,0
Shadab Khan,v Afghanistan,Sharjah,2,4.0,0
Mohammad Hafeez,v India,Johannesburg,1,3.0,0
Mohammad Amir,v England,Bridgetown,2,4.0,0
Saeed Ajmal,v India,Colombo (RPS),2,4.0,0
Shahid Afridi,v Sri Lanka,Dubai (DSC),1,2.0,0
Saeed Ajmal,v Bangladesh,Mirpur,2,3.2,0
Shahid Afridi,v Bangladesh,Mirpur,2,3.0,0
Mohammad Irfan,v Sri Lanka,Colombo (RPS),2,4.0,0
Anwar Ali,v Bangladesh,Mirpur,2,2.1,0
Mohammad Irfan,v India,Eden Gardens,2,2.5,0
Shahid Afridi,v India,Eden Gardens,2,4.0,0
Mohammad Nawaz (3),v Zimbabwe,Harare,1,3.0,0
Shadab Khan,v South Africa,Johannesburg,1,3.0,0
Mohammad Amir,v Sri Lanka,Lahore,1,4.0,0
Shadab Khan,v Australia,Canberra,2,4.0,0
Mohammad Amir,v Australia,Perth,2,3.0,0
Mohammad Amir,v England,Manchester,2,2.0,0
Imad Wasim,v New Zealand,Hamilton,2,3.0,0
Imad Wasim,v Australia,Dubai (DSC),2,3.0,0
Hasan Ali,v Sri Lanka,Dubai (DSC),2,3.0,0
Shaheen Shah Afridi,v New Zealand,Lahore,2,4.0,0
Shadab Khan,v New Zealand,Rawalpindi,1,3.0,0
Mohammad Amir,v Sri Lanka,Lord's,1,4.0,0
Saeed Ajmal,v England,Dubai (DSC),2,4.0,0
Shahid Afridi,v South Africa,Colombo (RPS),1,4.0,0
Raza Hasan,v Sri Lanka,Colombo (RPS),1,4.0,0
Asad Ali,v Zimbabwe,Harare,2,3.0,0
Mohammad Hafeez,v South Africa,Cape Town,2,3.0,0
Sohail Tanvir,v Bangladesh,Mirpur,2,3.0,0
Shahid Afridi,v Zimbabwe,Harare,2,4.0,0
Mohammad Nawaz (3),v U.A.E.,Mirpur,1,3.0,0
Imad Wasim,v New Zealand,Mohali,1,4.0,0
Haris Rauf,v South Africa,Lahore,2,2.0,0
Hasan Ali,v New Zealand,Sharjah,1,3.0,0
Umar Gul,v India,Durban,1,4.0,0
Sohail Tanvir,v Bangladesh,Cape Town,1,3.0,0
Shahid Afridi,v England,Dubai (DSC),1,4.0,0
Saeed Ajmal,v New Zealand,Bridgetown,1,4.0,0
Sohail Tanvir,v South Africa,Johannesburg,1,3.0,0
Shahid Afridi,v Australia,Mohali,1,4.0,0
Shaheen Shah Afridi,v West Indies,Karachi,1,4.0,0
Faheem Ashraf,v New Zealand,Dubai (DSC),1,3.0,0
Shahid Afridi,v England,Bristol,1,4.0,0
Abdul Razzaq,v South Africa,Johannesburg,2,2.0,0
Saeed Ajmal,v Sri Lanka,Lord's,1,4.0,0
Shoaib Malik,v England,Dubai (DSC),2,3.0,0
Mohammad Hafeez,v Australia,Dubai (DSC),2,3.0,0
Mohammad Hafeez,v Bangladesh,Pallekele,1,3.0,0
Sohail Tanvir,v Zimbabwe,Harare,2,4.0,0
Shahid Afridi,v Zimbabwe,Lahore,1,3.0,0
Imad Wasim,v West Indies,Port of Spain,2,4.0,0
Hasan Ali,v New Zealand,Wellington,2,2.5,0
Mohammad Hasnain,v Zimbabwe,Rawalpindi,1,4.0,0
Shaheen Shah Afridi,v South Africa,Lahore,1,4.0,0
Mohammad Nawaz (3),v New Zealand,Christchurch,2,4.0,0
Naved-ul-Hasan,v South Africa,Johannesburg,2,3.0,0
Umar Gul,v Australia,Johannesburg,1,4.0,0
Sohail Tanvir,v Sri Lanka,King City (NW),1,4.0,0
Sohail Tanvir,v Sri Lanka,Lord's,1,2.0,0
Sohail Tanvir,v Sri Lanka,Abu Dhabi,1,2.0,0
Junaid Khan,v South Africa,Cape Town,2,2.0,0
Umar Gul,v West Indies,Mirpur,1,2.0,0
Imran Khan (1),v Zimbabwe,Harare,2,4.0,0
Sohail Tanvir,v West Indies,Port of Spain,2,4.0,0
Shaheen Shah Afridi,v New Zealand,Abu Dhabi,2,3.0,0
Mohammad Hasnain,v England,Cardiff,2,4.0,0
Mohammad Hasnain,v New Zealand,Napier,1,4.0,0
Mohammad Nawaz (3),v South Africa,Johannesburg,2,3.0,0
Shahnawaz Dahani,v India,Dubai (DSC),2,4.0,0
Mohammad Wasim (1),v England,Lahore,2,2.3,0
Shaheen Shah Afridi,v Zimbabwe,Perth,1,4.0,0
Shadab Khan,v New Zealand,Rawalpindi,2,2.0,0
Sohail Tanvir,v New Zealand,Cape Town,1,4.0,0
Shahid Afridi,v India,Johannesburg,1,4.0,0
Saeed Ajmal,v England,Cardiff,2,3.0,0
Shahid Afridi,v West Indies,Gros Islet,1,3.0,0
Umar Gul,v India,Colombo (RPS),2,3.0,0
Saeed Ajmal,v Zimbabwe,Harare,2,4.0,0
Wahab Riaz,v New Zealand,Hamilton,2,3.0,0
Mohammad Sami,v Bangladesh,Mirpur,2,4.0,0
Imad Wasim,v England,Manchester,2,3.0,0
Shaheen Shah Afridi,v South Africa,Johannesburg,2,3.0,0
Faheem Ashraf,v Zimbabwe,Harare,2,4.0,0
Hasan Ali,v Australia,Lahore,2,3.0,0
Aamer Jamal,v England,Lahore,2,2.0,0
Naseem Shah,v New Zealand,Sydney,1,4.0,0
Naseem Shah,v England,Melbourne,2,4.0,0
Naseem Shah,v New Zealand,Lahore,1,4.0,0
Yasir Shah,v Zimbabwe,Harare,2,3.0,0
Sohail Khan,v Zimbabwe,Harare,2,4.0,0
Raza Hasan,v Australia,Dubai (DSC),2,4.0,0
Sohail Tanvir,v Sri Lanka,Dubai (DSC),1,4.0,0
Anwar Ali,v Zimbabwe,Lahore,1,3.0,0
Bilawal Bhatti,v Zimbabwe,Lahore,1,3.0,0
Shahid Afridi,v Sri Lanka,Colombo (RPS),2,4.0,0
Anwar Ali,v New Zealand,Wellington,1,3.0,0
Wahab Riaz,v India,Mirpur,2,3.3,0
Mohammad Amir,v Sri Lanka,Mirpur,1,4.0,0
Wahab Riaz,v Bangladesh,Eden Gardens,2,4.0,0
Shadab Khan,v Sri Lanka,Lahore,2,2.0,0
Usman Shinwari,v Australia,Harare,2,3.0,0
Faheem Ashraf,v Sri Lanka,Lahore,1,3.0,0
Mohammad Irfan,v Australia,Sydney,2,2.0,0
Iftikhar Ahmed,v England,Manchester,2,3.0,0
Wahab Riaz,v Zimbabwe,Rawalpindi,1,4.0,0
Shadab Khan,v Bangladesh,Christchurch,1,4.0,0
Sohail Tanvir,v Australia,Dubai (DSC),1,3.0,0
Umar Gul,v South Africa,Abu Dhabi,2,3.4,0
Saeed Ajmal,v Bangladesh,Pallekele,1,4.0,0
Bilawal Bhatti,v Sri Lanka,Dubai (DSC),1,2.0,0
Imad Wasim,v New Zealand,Hamilton,2,4.0,0
Shadab Khan,v World-XI,Lahore,2,4.0,0
Hasan Ali,v Australia,Dubai (DSC),2,4.0,0
Shadab Khan,v Sri Lanka,Lahore,1,4.0,0
Mohammad Hasnain,v Australia,Perth,2,4.0,0
Haris Rauf,v England,Manchester,1,3.0,0
Haris Rauf,v Australia,Dubai (DSC),2,3.0,0
Haris Rauf,v New Zealand,Sydney,1,4.0,0
Zaman Khan,v New Zealand,Rawalpindi,1,3.0,0
Iftikhar Anjum,v Bangladesh,Nairobi (Gym),2,4.0,0
Mohammad Amir,v New Zealand,Dubai (DSC),2,4.0,0
Shahid Afridi,v Australia,Gros Islet,1,4.0,0
Mohammad Amir,v South Africa,Gros Islet,2,4.0,0
Shahid Afridi,v Australia,Colombo (RPS),2,4.0,0
Shahid Afridi,v India,Ahmedabad,1,3.0,0
Shahid Afridi,v England,Dubai (DSC),1,4.0,0
Mohammad Amir,v England,Manchester,1,4.0,0
Imad Wasim,v Australia,Dubai (DSC),2,4.0,0
Wahab Riaz,v Australia,Canberra,2,3.0,0
Haris Rauf,v Bangladesh,Mirpur,1,4.0,0
Shahnawaz Dahani,v England,Lahore,2,2.0,0
Shadab Khan,v New Zealand,Sydney,1,4.0,0
Mohammad Asif,v New Zealand,Cape Town,1,4.0,0
Shoaib Akhtar,v Australia,Birmingham,2,2.0,0
Junaid Khan,v West Indies,Kingstown,1,3.0,0
Sohail Tanvir,v South Africa,Cape Town,2,3.0,0
Mohammad Amir,v New Zealand,Hamilton,2,3.0,0
Shadab Khan,v World-XI,Lahore,2,3.0,0
Mohammad Nawaz (3),v England,Karachi,1,4.0,0
Iftikhar Ahmed,v England,Lahore,1,4.0,0
Shaheen Shah Afridi,v India,Melbourne,2,4.0,0
Naseem Shah,v Zimbabwe,Perth,1,4.0,0
Mohammad Amir,v New Zealand,Wellington,1,4.0,0
Sohail Tanvir,v England,Manchester,1,4.0,0
Faheem Ashraf,v Zimbabwe,Rawalpindi,1,4.0,0
Haris Rauf,v India,Dubai (DSC),2,4.0,0
